YR,ANC,FOOD_STAMPS
2014,11,2810
2015,11,2810
2013,12,3938
2014,12,3631
2015,12,3620
1997,13,556
2014,13,766
2015,13,765
2014,14,981
2015,14,1026
2014,21,108
2015,21,146
2013,22,482
2014,22,447
2015,22,420
2014,23,402
2015,23,413
2014,24,3722
2015,24,3795
2012,25,63
2014,25,58
2015,25,55
2014,26,1732
2015,26,1730
2014,32,123
2015,32,126
2014,33,129
2015,33,140
2013,34,104
2014,34,98
2015,34,107
2015,35,113
2014,36,93
2015,36,98
2015,37,182
2014,41,2951
2015,41,3163
2014,42,3573
2015,42,3647
2014,43,4774
2015,43,4887
2014,44,3722
2015,44,3795
2015,51,2936
2015,52,1549
2012,53,4738
2014,53,4610
2015,53,4641
2014,54,6682
2015,54,6560
2014,55,4584
2015,55,4547
2011,61,3216
2014,61,2845
2015,61,2797
2014,62,2245
2015,62,2158
2014,63,4250
2015,63,4251
2013,64,3038
2014,64,2976
2015,64,3003
2009,65,3033
2014,65,3565
2015,65,3657
2014,72,5215
2015,72,5284
2014,73,7053
2015,73,7439
2015,74,6883
2014,75,7148
2015,75,7271
2014,76,6792
2015,76,6972
2006,81,4926
2014,81,8315
2015,81,8763
2014,82,9740
2015,82,9992
2014,83,8515
2015,83,8667
2014,84,8851
2015,84,9114
2014,85,8463
2015,85,8645
